no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
88,Num_Hotels,# location of hotel,ចំនួនទីតាំងសណ្ធាគារ,# of hotels,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
88.a,T_Worker_Hotels,# location of hotel,ចំនួនទីតាំងសណ្ធាគារ,# total of workers employed in hotels,People,នាក់,store,ទីតាំងលក់ទំនិញ,
88.b,Fe_Emp_Hotels,# location of hotel,ចំនួនទីតាំងសណ្ធាគារ,# of FEMALE workers employed in hotels,People,នាក់,store,ទីតាំងលក់ទំនិញ,
89,G_Houses,# location of guest house,ចំនួនទីតាំងផ្ទះសំណាក់,# of guest houses,Location,កន្លែង,store,ទីតាំងលក់ទំនិញ,
89.a,T_Worker_G_Houses,# location of guest house,ចំនួនទីតាំងផ្ទះសំណាក់,# total of workers employed in guest houses,People,នាក់,store,ទីតាំងលក់ទំនិញ,
89.b,Fe_Emp_H_Houses,# location of guest house,ចំនួនទីតាំងផ្ទះសំណាក់,# of FEMALE workers employed in guest houses,People,នាក់,store,ទីតាំងលក់ទំនិញ,
90,Les1_R_Land,# of families with primary occupation are farming who have rice land less than one hectare,ចំនួនគ្រួសារធ្វើស្រែជាចំបងដែលមានដីស្រែតិចជាង១ហិចតា,# of families with primary occupation are farming who have rice land less than one hectare,Families,គ្រូសារ,agriculture,កសិកម្ម,
91,No_R_Land,# of families with primary occupation are farming who do not own any rice land,ចំនួនគ្រួសារធ្វើស្រែជាចំបងដែលគ្មានដីស្រែផ្ទាល់ខ្លួន,# of families with primary occupation are farming who do not own any rice land,Families,គ្រូសារ,agriculture,កសិកម្ម,
92,NUM_IRRI,# of family who have some irrigated rice land,ចំនួនគ្រួសារដីស្រែទទួលបានទឹកពីប្រពន្ធ័ធារាសាស្ត្រ,# family who have some irrigated rice land,Families,គ្រូសារ,agriculture,កសិកម្ម,
93,Num_Fami_RPT,# of families that use one nee growing technique,ចំនួនគ្រួសារធ្វើស្រែតាមបែបប្រពលវប្បកម្ម(ប.រ.ស),# of families applying one rice plantation technique (R.P.T),Families,គ្រូសារ,agriculture,កសិកម្ម,
94,Own_IRRI_Wells,# of families who have irrigation wells,ចំនួនគ្រួសារមានអណ្តូងទឹកសម្រាប់ស្រោចស្រព(អណ្តូងកសិកម្ម),# of families who have irrigation wells,Families,គ្រូសារ,agriculture,កសិកម្ម,
95,IRRI_Wells,# of irrigation wells,ចំនួនអណ្តូងទឹកសម្រាប់ស្រោចស្រព(អណ្តូងកសិកម្ម),# of irrigation wells,Wells,អណ្តូង,agriculture,កសិកម្ម,
96,Wet_yield,Average yield of rice in wet-season per one hectare,ទិន្នផលស្រូវរដូវវស្សាជាមធ្យមក្នុង១ហិកតាមានប្រហែល,Average yield of rice in wet-season per one hectare,Ton,តោន,agriculture,កសិកម្ម,
97,Dry_yield,Average yield of rice in dry-season per one hectare,ទិន្នផលស្រូវប្រាំងជាមធ្យមក្នុង១ហិកតាមានប្រហែល,Average yield of rice in dry-season per one hectare,Ton,តោន,agriculture,កសិកម្ម,
98,Max_R_Price,Farm get maximum price of rice per kilogram this year,ក្នុងឆ្នាំនេះតំលៃស្រូវលក់ចេញក្នុង១គីឡូក្រាមមានតម្លៃខ្ពស់កំផុត,Maximum farm gate price of rice per kilogram this year  ,Riel,រៀល,agriculture,កសិកម្ម,
98.1,Min_R_Price,Farm get minimum price of rice per kilogram this year,ក្នុងឆ្នាំនេះតំលៃស្រូវលក់ចេញក្នុង១គីឡូក្រាមមានតម្លៃទាបបំផុត,Minimum farm gate price of rice per kilogram this year  ,Riel,រៀល,agriculture,កសិកម្ម,
99,Les1_F_Land,# of families who have cultivated land less than one hectare,ចំនួនគ្រួសារធ្វើដំណាំចំការជាចំបងមានដីដំណាំចំការតិចជាង១ហិកតា,# of families who have cultivated land less than one hectare ,Families,គ្រូសារ,agriculture,កសិកម្ម,
100,No_F_Land,# of families who do not own any cultivated land,ចំនួនគ្រួសារធ្វើដំណាំចំការជាចំបងគ្មានដីធ្វើចំការផ្ទាល់ខ្លួន,# of families who do not own  any cultivated land ,Families,គ្រូសារ,agriculture,កសិកម្ម,
101,NUM_FERT,# of families using chemical fertilizer,ចំនួនគ្រួសារដែលប្រើជីគីមី,# family using chemical fertilizer in the past year,Families,គ្រូសារ,agriculture,កសិកម្ម,
102,Fami_Organic_Ferti,"# of families using organic fertilizer (compose, organic )",ចំនួនគ្រួសារដែលប្រើជីធម្មជាតិ(ជីកំប៉ុស្ត៍ ជីសរិរាង្គ...),# family using organic fertilizer,Families,គ្រូសារ,agriculture,កសិកម្ម,
103,NUM_PEST,# of families using pesticide to kill insects and grass,ចំនួនគ្រួសារដែលប្រើថ្នាំគីមីសំលាប់សត្វល្អិតនិងស្មៅ,# family using pesticide in the past year,Families,គ្រូសារ,agriculture,កសិកម្ម,
104,Fami_Organic_Pest,# of families using organic fertilizer to kill insects and grass,ចំនួនគ្រួសារដែលប្រើថ្នាំសរីរាង្គ(ធម្មជាតិ)សំលាប់សត្វល្អិតនិងស្មៅ,# family using organic  pesticide (nature) for killing pests and grass,Families,គ្រូសារ,agriculture,កសិកម្ម,
105,H_Tractor_Num,Tractors use for plough,ត្រាក់ទ័រសម្រាប់ភ្ជួរដី,# families with tractors use for plough,Families,គ្រូសារ,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
105.a,Tractor_Num,Tractors use for plough,ត្រាក់ទ័រសម្រាប់ភ្ជួរដី,# of tractors use for plough,Sets,គ្រឿង,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
106,H_P_tillag_Num,Power-tillage use for plough,គោយន្តសម្រាប់ភ្ជួរដី,# families with power-tillage use for plough,Families,គ្រូសារ,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
106.a,P_tillag_Num,Power-tillage use for plough,គោយន្តសម្រាប់ភ្ជួរដី,# of power-tillage use for plough,Sets,គ្រឿង,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
107,Fami_R_Transp_M,Transplanting machine,ម៉ាស៊ីនស្ទូងស្រូវ,# of families with rice transplanting machines,Families,គ្រូសារ,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
107.a,Num_R_Transp_M,Transplanting machine,ម៉ាស៊ីនស្ទូងស្រូវ,# of rice transplanting machines,Sets,គ្រឿង,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
108,Fami_R_Harv_M,Harvesting machine,ម៉ាស៊ីច្រូតស្រូវ,# of families with rice harvesting machines,Families,គ្រូសារ,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
108.a,Num_R_Harv_M,Harvesting machine,ម៉ាស៊ីច្រូតស្រូវ,# of rice harvesting machines,Sets,គ្រឿង,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
109,H_Thresh_machin,Rice threshing machines,ម៉ាស៊ីនបោកស្រូវ,# families with rice threshing machines,Families,គ្រូសារ,Agricultural machinery,គ្រឿងយន្តកសិកម្ម,
